sample_alias	experiment_id	experiment_name	sample_id	experiment_type	access_status	studies	publications	platform	instrument_model	protocol_label	library_strategy	library_source	library_selection	library_layout	insert_size	read_length	filepath	sample_alias	replicate
188816475-ST-42	6702	SRS893285	6601	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		188816475-ST-42	0
158398106-ST-208	6703	SRS1041137	4563	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		158398106-ST-208	0
367712035-ST-0	6704	SRS075773	6462	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		367712035-ST-0	0
550534656-NASAL-244	6705	SRS143566	6183	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		550534656-NASAL-244	0
336497421-SUPRA-217	6706	SRS1055026	5210	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		336497421-SUPRA-217	0
884797910-BUCC-136	6707	SRS144703	6486	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		884797910-BUCC-136	0
159085930-ST-350	6708	SRS057480	4666	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159085930-ST-350	0
809362576-BUCC-0	6709	SRS063801	6411	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		809362576-BUCC-0	0
162469177-NASAL-79	6710	SRS886676	6547	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		162469177-NASAL-79	0
441369442-BUCC-212	6711	SRS893362	5162	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		441369442-BUCC-212	0
375450439-INTRO-92	6712	SRS064382	6236	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		375450439-INTRO-92	0
159389382-ST-231	6713	SRS024492	4757	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159389382-ST-231	0
305070461-TONG-0	6714	SRS097912	6556	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		305070461-TONG-0	0
765377934-NASAL-280	6715	SRS104641	5977	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765377934-NASAL-280	0
765013792-BUCC-387	6716	SRS146874	5814	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765013792-BUCC-387	0
765519544-BUCC-276	6717	SRS104964	6004	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765519544-BUCC-276	0
763901136-TONG-309	6718	SRS065278	5492	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina Genome Analyzer II	external	WGS	METAGENOMIC	RANDOM	paired		100		763901136-TONG-309	0
612472597-SUPRA-141	6719	SRS098071	6280	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		612472597-SUPRA-141	0
525622796-PFORN-47	6720	SRS143378	6542	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		525622796-PFORN-47	0
441369442-SUPRA-359	6721	SRS1055091	5165	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		441369442-SUPRA-359	0
797461496-TONG-112	6722	SRS893227	5294	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		797461496-TONG-112	0
938202701-NASAL-136	6723	SRS147392	6395	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		938202701-NASAL-136	0
765377934-BUCC-0	6724	SRS019272	5971	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765377934-BUCC-0	0
115629832-TONG-98	6725	SRS149184	6568	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		115629832-TONG-98	0
159510762-TONG-0	6726	SRS017279	4788	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159510762-TONG-0	0
765377934-TONG-324	6727	SRS147140	5960	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765377934-TONG-324	0
764245047-SUPRA-330	6728	SRS149585	5603	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764245047-SUPRA-330	0
764467579-ST-301	6729	SRS062654	5703	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764467579-ST-301	0
436584885-BUCC-35	6730	SRS886691	6687	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		436584885-BUCC-35	0
370027359-TONG-231	6731	SRS143037	6114	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		370027359-TONG-231	0
159672603-SUPRA-0	6732	SRS016393	4843	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159672603-SUPRA-0	0
508703490-PFORN-274	6733	SRS147727	6092	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		508703490-PFORN-274	0
535376874-ST-2	6734	SRS893279	6593	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		535376874-ST-2	0
763880905-TONG-0	6735	SRS014935	5481	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763880905-TONG-0	0
160704339-ST-203	6736	SRS042966	5102	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160704339-ST-203	0
763721271-TONG-49	6737	SRS1041170	5284	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		763721271-TONG-49	0
162469177-BUCC-79	6738	SRS893277	6549	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		162469177-BUCC-79	0
367712035-BUCC-4	6739	SRS075767	6466	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		367712035-BUCC-4	0
159288231-ST-289	6740	SRS058145	4735	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159288231-ST-289	0
765094712-ST-197	6741	SRS053587	5851	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765094712-ST-197	0
182518224-NASAL-30	6742	SRS893351	6673	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		182518224-NASAL-30	0
508703490-TONG-0	6743	SRS043275	6103	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		508703490-TONG-0	0
160340197-BUCC-0	6744	SRS017326	4968	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160340197-BUCC-0	0
764872181-NASAL-240	6745	SRS062640	5787	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764872181-NASAL-240	0
765216093-ST-308	6746	SRS104036	5901	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765216093-ST-308	0
763901136-PFORN-0	6747	SRS015148	5500	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763901136-PFORN-0	0
208027353-PFORN-227	6748	SRS143465	6228	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		208027353-PFORN-227	0
375450439-ST-0	6749	SRS046502	6237	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		375450439-ST-0	0
436584885-TONG-35	6750	SRS893346	6684	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		436584885-TONG-35	0
765155402-BUCC-0	6751	SRS018612	5868	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765155402-BUCC-0	0
663835652-BUCC-127	6752	SRS143233	6359	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		663835652-BUCC-127	0
764346198-BUCC-1	6753	SRS015592	5673	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764346198-BUCC-1	0
604812005-BUCC-189	6754	SRS1055018	5218	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		604812005-BUCC-189	0
763860675-ST-280	6755	SRS042690	5470	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763860675-ST-280	0
763921366-PFORN-337	6756	SRS075829	5506	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763921366-PFORN-337	0
764750800-SUB-241	6757	SRS063672	5761	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764750800-SUB-241	0
764002286-ST-0	6758	SRS014855	5549	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764002286-ST-0	0
536137189-TONG-49	6759	SRS893175	5287	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		536137189-TONG-49	0
763820215-TONG-0	6760	SRS014127	5424	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763820215-TONG-0	0
663835652-TONG-127	6761	SRS143231	6358	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		663835652-TONG-127	0
886389417-BUCC-0	6762	SRS893354	6667	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		886389417-BUCC-0	0
884419868-NASAL-0	6763	SRS075980	6444	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		884419868-NASAL-0	0
764083206-ST-0	6764	SRS015431	5581	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina Genome Analyzer II	external	WGS	METAGENOMIC	RANDOM	paired		100		764083206-ST-0	0
765377934-PFORN-280	6765	SRS104644	5974	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765377934-PFORN-280	0
160461578-NASAL-0	6766	SRS017640	5015	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160461578-NASAL-0	0
764953101-SUPRA-0	6767	SRS150038	5793	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764953101-SUPRA-0	0
158013734-ST-255	6768	SRS971276	4527	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		158013734-ST-255	0
508703490-NASAL-239	6769	SRS104155	6098	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		508703490-NASAL-239	0
160542498-TONG-0	6770	SRS017751	5060	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160542498-TONG-0	0
763820215-SUPRA-274	6771	SRS056447	5421	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763820215-SUPRA-274	0
182518224-BUCC-30	6772	SRS893337	6671	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		182518224-BUCC-30	0
486505039-TONG-71	6773	SRS893274	6579	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		486505039-TONG-71	0
257905678-BUCC-51	6774	SRS1041161	5253	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		257905678-BUCC-51	0
764710340-NASAL-0	6775	SRS018536	5753	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764710340-NASAL-0	0
275382046-SUPRA-0	6776	SRS057619	6317	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		275382046-SUPRA-0	0
764346198-PFORN-308	6777	SRS064225	5669	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764346198-PFORN-308	0
159733294-SUPRA-450	6778	SRS144765	4854	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159733294-SUPRA-450	0
764831721-PTON-248	6779	SRS064022	5779	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764831721-PTON-248	0
160987560-NASAL-378	6780	SRS893384	5122	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160987560-NASAL-378	0
103092734-BUCC-0	6781	SRS064617	6426	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		103092734-BUCC-0	0
650853796-ST-287	6782	SRS1055038	5183	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		650853796-ST-287	0
316129862-PFORN-0	6783	SRS1055058	6647	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		316129862-PFORN-0	0
764508039-BUCC-336	6784	SRS077571	5717	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764508039-BUCC-336	0
115629832-BUCC-65	6785	SRS893273	6574	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		115629832-BUCC-65	0
765276783-SUPRA-350	6786	SRS148730	5926	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765276783-SUPRA-350	0
765337473-TONG-336	6787	SRS147466	5957	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765337473-TONG-336	0
103092734-NASAL-0	6788	SRS063686	6425	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		103092734-NASAL-0	0
763921366-BUCC-337	6789	SRS075815	5504	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763921366-BUCC-337	0
875002022-BUCC-156	6790	SRS148516	6380	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		875002022-BUCC-156	0
763395383-NASAL-352	6791	SRS063418	5313	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763395383-NASAL-352	0
195044680-ST-30	6792	SRS1055049	6623	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		195044680-ST-30	0
160056975-TONG-0	6793	SRS018055	4904	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160056975-TONG-0	0
932979671-ST-62	6794	SRS893253	6524	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		932979671-ST-62	0
765216093-ST-0	6795	SRS018888	5902	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765216093-ST-0	0
638754422-TONG-287	6796	SRS893377	5135	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		638754422-TONG-287	0
160259276-ST-364	6797	SRS100907	4940	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160259276-ST-364	0
765337473-PFORN-331	6798	SRS147433	5944	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765337473-PFORN-331	0
764245047-ST-1	6799	SRS015486	5605	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764245047-ST-1	0
886389417-TONG-56	6800	SRS893365	6664	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		886389417-TONG-56	0
103092734-SUPRA-135	6801	SRS148287	6423	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		103092734-SUPRA-135	0
682102541-ST-127	6802	SRS144135	6403	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		682102541-ST-127	0
884797910-SUPRA-106	6803	SRS144306	6479	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		884797910-SUPRA-106	0
765216093-BUCC-350	6804	SRS144515	5906	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765216093-BUCC-350	0
160663879-ST-0	6805	SRS020271	5083	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		160663879-ST-0	0
765337473-SUPRA-0	6806	SRS019360	5953	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		765337473-SUPRA-0	0
764750800-TONG-0	6807	SRS149720	5758	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		764750800-TONG-0	0
147406386-ST-8	6808	SRS050974	6253	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		147406386-ST-8	0
765337473-ST-0	6809	SRS019381	5952	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina Genome Analyzer II	external	WGS	METAGENOMIC	RANDOM	paired		100		765337473-ST-0	0
535376874-BUCC-0	6810	SRS1055054	6588	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		535376874-BUCC-0	0
763456073-TONG-323	6811	SRS046496	5350	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		100		763456073-TONG-323	0
159227541-ST-0	6812	SRS1041113	4703	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		159227541-ST-0	0
884419868-TONG-86	6813	SRS142545	6454	metagenome	public	HMP	12015:Lloyd-Price, Jason	ILLUMINA	Illumina HiSeq 2000	external	WGS	METAGENOMIC	RANDOM	paired		101		884419868-TONG-86	0
