""	"ASV_name"	"size"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"consensus_taxonomy"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"log10P"	"significant"	"local_OTU_size"	"local_sample_count"
"ASV_13310"	"ASV_13310"	864	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	NA	"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium"	-2.35306085402216	8.44140182254109	27.8685079238024	1.29846040474603e-07	4.56192422200773e-06	6.88657128920949	"TRUE"	864	26
"ASV_18543"	"ASV_18543"	2526	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.03702771851261	9.30381666659178	25.9730047191437	3.46224979320446e-07	1.14037852563672e-05	6.4606416020017	"TRUE"	2526	24
"ASV_18339"	"ASV_18339"	2622	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-4.11794443911001	9.82147379880675	23.1919231550716	1.4661180752364e-06	4.54496603323284e-05	5.83383105196048	"TRUE"	2619	27
"ASV_09908"	"ASV_09908"	6748	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	4.1272861440022	10.6370471067843	23.0356973925328	1.59021110779607e-06	4.6557847433807e-05	5.7985452172739	"TRUE"	6672	46
"ASV_09918"	"ASV_09918"	13059	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.57063593994471	11.5614793802172	22.339334135082	2.28478478508656e-06	6.33727148284535e-05	5.64115470196228	"TRUE"	12668	65
"ASV_02599"	"ASV_02599"	5480	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	-2.20204256203357	9.66276961415745	22.026993789667	2.68842763994035e-06	6.87288308687617e-05	5.57050164823188	"TRUE"	5185	38
"ASV_07204"	"ASV_07204"	1131	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"FAM_Mogibacterium"	"Mogibacterium"	NA	"Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Mogibacterium;Mogibacterium"	-1.88198062863543	8.51922695983737	21.9914202904464	2.73872001564326e-06	6.87288308687617e-05	5.56245236419599	"TRUE"	1131	26
"ASV_04684"	"ASV_04684"	1223	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Tannerella"	"Tannerella forsythia"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;Tannerella forsythia"	-2.03900282671944	8.59132320968405	20.8250647027435	5.0320092277371e-06	0.000120539493773521	5.29825857114951	"TRUE"	1223	24
"ASV_02659"	"ASV_02659"	1801	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella denticola"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola"	-3.30034269360974	8.9977432184639	20.7093059696611	5.3455578463919e-06	0.000122482999349936	5.27200696642002	"TRUE"	1792	25
"ASV_18552"	"ASV_18552"	3093	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	2.78238711902023	9.11537823066293	20.5266739709356	5.88060335342934e-06	0.000129128248635719	5.23057811276363	"TRUE"	3093	23
"ASV_13376"	"ASV_13376"	2472	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	NA	"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium"	-3.47563727344416	9.47441259103962	20.4305130910619	6.18359772655484e-06	0.000130350240075776	5.20875877116283	"TRUE"	2472	37
"ASV_02653"	"ASV_02653"	2659	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella denticola"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola"	-3.46899562251233	9.50534520643873	19.7617783562287	8.77194307685403e-06	0.000177800538519311	5.05690419522165	"TRUE"	2486	42
"ASV_09907"	"ASV_09907"	10116	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.61049176640652	11.3934425961958	19.0618322553851	1.26550684735124e-05	0.000247008188353372	4.89773550063705	"TRUE"	9980	76
"ASV_09556"	"ASV_09556"	4177	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-3.47580236869818	9.94674114549431	18.8269233587181	1.43132345714706e-05	0.000269269888066021	4.84426221125753	"TRUE"	4177	36
"ASV_07411"	"ASV_07411"	1297	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Stomatobaculum"	"Stomatobaculum longum"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum"	-0.971538411226475	8.35769041616141	18.760886381263	1.48175080719442e-05	0.000269269888066021	4.82922482750383	"TRUE"	1223	27
"ASV_14129"	"ASV_14129"	3148	"Bacteria"	NA	NA	NA	NA	NA	NA	"Bacteria"	-2.86569043668021	9.94285346047829	18.621435117673	1.59417985587004e-05	0.000280044261347838	4.79746268293645	"TRUE"	3107	40
"ASV_18544"	"ASV_18544"	4279	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.97835381750297	10.1165015142871	18.2871533402695	1.89984054715603e-05	0.000322972893016525	4.72128284767676	"TRUE"	4279	34
"ASV_02130"	"ASV_02130"	1429	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	"Alloprevotella tannerae"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae"	-1.51548236525992	8.6855865290841	17.7312907593371	2.54407216931462e-05	0.000418976885384002	4.59447057294086	"TRUE"	1379	25
"ASV_13336"	"ASV_13336"	4079	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	NA	"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium"	-3.38347790116094	9.86604331488146	17.4707995787528	2.91754605351072e-05	0.000458704186994555	4.5349822798832	"TRUE"	3708	45
"ASV_09911"	"ASV_09911"	1638	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.19486341262355	9.08844981172454	17.4437338521009	2.95938185157778e-05	0.000458704186994555	4.5287989938344	"TRUE"	1576	23
"ASV_06802"	"ASV_06802"	4395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	NA	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia"	-3.23194503674985	10.242188870739	16.843490507252	4.05923169842461e-05	0.000611204315734219	4.39155615871587	"TRUE"	4201	61
"ASV_05213"	"ASV_05213"	2330	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA	"Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter"	-2.1914320857385	9.24722563746031	16.7094208881993	4.35641276632078e-05	0.00063773042440307	4.36087097794227	"TRUE"	2256	37
"ASV_16415"	"ASV_16415"	2275	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Capnocytophaga"	NA	"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga"	-2.80447092859072	9.56586423502165	16.5653200028429	4.70027266231945e-05	0.000669471268389824	4.32787694795661	"TRUE"	2275	33
"ASV_09355"	"ASV_09355"	2088	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Scardovia"	"Scardovia wiggsiae"	"Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Scardovia;Scardovia wiggsiae"	2.64233388721138	9.10216053499516	15.9539982368833	6.49005521554641e-05	0.00089791172665433	4.18775160832981	"TRUE"	1984	27
"ASV_01967"	"ASV_01967"	1623	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella pallens"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pallens"	-1.66155972587232	9.11149407108709	15.9093716566666	6.64488754070567e-05	0.00089791172665433	4.17751236473844	"TRUE"	1610	30
"ASV_05557"	"ASV_05557"	15519	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	NA	"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus"	-1.92526058772296	11.6338383152376	15.8037772220942	7.02621003407909e-05	0.00092570317198992	4.15327887201081	"TRUE"	14727	71
"ASV_12262"	"ASV_12262"	7796	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	NA	NA	"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae"	2.46482048382806	10.914758262877	15.7336450481895	7.29156211209711e-05	0.000937232495871995	4.13717942038049	"TRUE"	7423	83
"ASV_07596"	"ASV_07596"	1282	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Oribacterium"	"Oribacterium sinus"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sinus"	-1.80646222219285	8.5346863523353	15.605997062168	7.80067914188613e-05	0.00097879950185095	4.10786758516415	"TRUE"	1273	23
"ASV_11371"	"ASV_11371"	3081	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	"Megasphaera micronuciformis"	"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis"	2.98413481297543	10.0705844389951	14.9831715337173	0.000108474231081888	0.00132943999488732	3.96467341967837	"TRUE"	2906	47
"ASV_09989"	"ASV_09989"	3240	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.15960391645179	9.72090007189287	14.8154579156954	0.00011855970246005	0.00142002189082833	3.92606289927804	"TRUE"	2223	35
"ASV_11316"	"ASV_11316"	6564	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"FAM_Gemella"	"Gemella"	NA	"Bacteria;Firmicutes;Bacilli;Bacillales;FAM_Gemella;Gemella"	-1.52598275345627	10.4761736811526	14.7166002391017	0.000124941410598208	0.00144325000341023	3.90329359514396	"TRUE"	6360	52
"ASV_06783"	"ASV_06783"	3476	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	NA	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia"	-2.67833282952979	9.2159529244948	14.6902661896173	0.000126698978000107	0.00144325000341023	3.89722688827918	"TRUE"	3438	31
"ASV_07451"	"ASV_07451"	1463	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Stomatobaculum"	"Stomatobaculum longum"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum"	-1.86102160059705	8.92741671847513	14.6477851537012	0.000129586833569206	0.00144325000341023	3.88743912191233	"TRUE"	1459	28
"ASV_09816"	"ASV_09816"	3107	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	1.94686064538404	9.22224699620051	14.6138474248996	0.000131941466251781	0.00144325000341023	3.87961869395937	"TRUE"	2584	38
"ASV_13410"	"ASV_13410"	1844	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	NA	"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium"	-2.92773169880534	9.0049933456875	14.5819734865402	0.000134192125554272	0.00144325000341023	3.87227296798718	"TRUE"	1844	26
"ASV_11096"	"ASV_11096"	3754	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	NA	"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	3.68218760066055	10.3502130510285	14.4083249394313	0.000147150346709635	0.00155096465431956	3.83223871029625	"TRUE"	3715	36
"ASV_09547"	"ASV_09547"	2070	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-2.50692936752212	9.23431247442209	14.2646006853068	0.000158823914845185	0.00164118045340025	3.79908410327341	"TRUE"	2070	26
"ASV_02026"	"ASV_02026"	2183	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella nanceiensis"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nanceiensis"	-1.71944814637717	9.0437763916073	13.9860132760172	0.000184175620849363	0.00186654908053105	3.7347678574796	"TRUE"	1985	24
"ASV_01677"	"ASV_01677"	3798	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	-1.87270874167096	9.55684559970413	13.8041352155912	0.000202889180679996	0.00201740751355392	3.69274111164707	"TRUE"	3647	35
"ASV_02606"	"ASV_02606"	4782	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	-1.45924556418055	9.69975611521805	13.6752908862694	0.000217294834892886	0.00212063662941761	3.66295059675438	"TRUE"	4681	34
"ASV_11746"	"ASV_11746"	1992	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	NA	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae"	-2.27914227137289	9.00929515608015	13.5978806645617	0.00022644102232857	0.00216971670485739	3.6450448930444	"TRUE"	1852	23
"ASV_01680"	"ASV_01680"	7864	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	-2.56930747066767	11.071872275088	13.3617878348449	0.000256803378635431	0.00241670322394415	3.59039926676724	"TRUE"	7574	72
"ASV_12541"	"ASV_12541"	2998	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Abiotrophia"	"Abiotrophia defectiva"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva"	-2.52034060323858	9.09596104643944	12.706853490902	0.000364317909875398	0.0033270736317021	3.43851947830827	"TRUE"	2791	38
"ASV_04532"	"ASV_04532"	5468	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	"Porphyromonas catoniae"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae"	-1.79518061804113	10.2148778402331	12.697383877801	0.000366167496468163	0.0033270736317021	3.4363202092725	"TRUE"	5129	46
"ASV_09915"	"ASV_09915"	16808	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	2.17859971194656	11.9739042107275	12.3865971688762	0.000432426589676328	0.00386252225015975	3.36408760936566	"TRUE"	16422	71
"ASV_02028"	"ASV_02028"	3823	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella nanceiensis"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nanceiensis"	-2.59325740360506	9.7225874593798	12.1769523591632	0.000483836311189101	0.00424969559994427	3.31530154160189	"TRUE"	3683	44
"ASV_05559"	"ASV_05559"	16954	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	NA	"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus"	-1.96506406164445	12.0251425096008	12.0265944779388	0.000524468134485832	0.00453106076842678	3.280280893433	"TRUE"	16137	100
"ASV_09906"	"ASV_09906"	5783	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	2.08963745039589	10.333085926175	11.6323108662564	0.000648159797885197	0.00540705312803713	3.18831790958593	"TRUE"	5739	40
"ASV_10856"	"ASV_10856"	2881	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	NA	"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	-2.51876387530332	9.07559791125546	11.5980484369301	0.00066021063958324	0.00540705312803713	3.18031748110377	"TRUE"	2669	33
"ASV_18254"	"ASV_18254"	5513	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-2.58678934316536	10.6485881311384	11.5872651825305	0.00066404997110441	0.00540705312803713	3.17779923786344	"TRUE"	5513	44
"ASV_18239"	"ASV_18239"	2314	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	NA	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae"	-1.93382036537982	9.81587075683465	11.579289763378	0.000666904086000785	0.00540705312803713	3.17593662172941	"TRUE"	2314	29
"ASV_05594"	"ASV_05594"	1876	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	NA	"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus"	-1.91486120052675	8.98700086587752	11.3048938391995	0.000773030682255517	0.00617253287194936	3.11180326821645	"TRUE"	1865	24
"ASV_05215"	"ASV_05215"	6322	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA	"Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter"	-1.26189035229986	10.3391447129003	10.816758263076	0.00100585453816967	0.00791172151664799	2.99746482031183	"TRUE"	5842	61
"ASV_01718"	"ASV_01718"	3677	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	-1.45096588614336	9.44457059071313	10.590586465129	0.00113664915587976	0.00868658269801844	2.94437356625212	"TRUE"	3488	37
"ASV_09997"	"ASV_09997"	4204	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	3.36704986670734	9.797197519364	10.5894753776142	0.00113733245951285	0.00868658269801844	2.94411256589554	"TRUE"	2985	35
"ASV_03199"	"ASV_03199"	1875	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	-1.05975507585756	9.25983582749119	10.1062925523797	0.00147763920564514	0.011124512305357	2.83043159444284	"FALSE"	1875	24
