"ASV_name" "size" "domain" "phylum" "class" "order" "family" "genus" "species" "consensus_taxonomy" "logFC" "logCPM" "LR" "PValue" "FDR" "log10P" "significant" "local_OTU_size" "local_sample_count"
"ASV_02130" "ASV_02130" 1429 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Alloprevotella" "Alloprevotella tannerae" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae" -2.64154525138376 8.45116945951281 27.9986850471317 1.21397915210662e-07 2.36950745614885e-06 6.91578877141793 "TRUE" 1379 25
"ASV_18543" "ASV_18543" 2526 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 3.84020551247573 9.02161127124889 27.4366757078918 1.62323401255814e-07 3.05515830220765e-06 6.7896188658567 "TRUE" 2526 24
"ASV_07451" "ASV_07451" 1463 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Stomatobaculum" "Stomatobaculum longum" "Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum" -2.767567128448 8.62143950280757 27.2095587946613 1.82553883573024e-07 3.31744471182701e-06 6.73860892362144 "TRUE" 1459 28
"ASV_06917" "ASV_06917" 1614 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Actinomyces" "Actinomyces odontolyticus" "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus" -1.99598617908731 8.44200960420321 26.9332242896004 2.10607201406624e-07 3.69966650470969e-06 6.67652678282913 "TRUE" 1381 29
"ASV_18239" "ASV_18239" 2314 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" NA NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae" -4.4704328042588 9.19779643009162 26.5954283306622 2.5083660033926e-07 4.26422220576741e-06 6.60060909397508 "TRUE" 2314 29
"ASV_02653" "ASV_02653" 2659 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella denticola" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola" -4.03744815598908 9.40843586189127 26.4892465094698 2.65009228008008e-07 4.36437072375688e-06 6.57673900303233 "TRUE" 2486 42
"ASV_18552" "ASV_18552" 3093 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 4.192166414443 9.19175741149994 26.3789100870022 2.80587496509348e-07 4.4808972927402e-06 6.55193168583076 "TRUE" 3093 23
"ASV_06671" "ASV_06671" 2934 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Actinomyces" "Actinomyces graevenitzii" "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii" -3.91845706424231 9.13270997738883 24.9530258797089 5.87442602177259e-07 9.10536033374752e-06 6.23103456101446 "TRUE" 2786 33
"ASV_13376" "ASV_13376" 2472 "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" NA "Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium" -4.50227183153505 9.57311076073661 24.6617056372129 6.83284642902961e-07 1.02883144802817e-05 6.1653983401107 "TRUE" 2472 37
"ASV_06784" "ASV_06784" 3423 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Rothia" NA "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia" -4.50047502634872 9.47325454522563 24.1955485638516 8.70332098802708e-07 1.26545509062501e-05 6.06031499892531 "TRUE" 3323 34
"ASV_10533" "ASV_10533" 1130 "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Anaeroglobus" "Anaeroglobus geminatus" "Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus" -2.62588321955235 8.47289566090473 24.155847360909 8.8845993079934e-07 1.26545509062501e-05 6.05136215393087 "TRUE" 1130 26
"ASV_17344" "ASV_17344" 1276 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Rothia" NA "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia" -3.65000721839294 8.76562609429379 23.1494177681626 1.49888581621679e-06 2.07871796091119e-05 5.8242314500575 "TRUE" 1276 26
"ASV_02659" "ASV_02659" 1801 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella denticola" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola" -4.0542653469625 8.93715170560933 23.0450838603265 1.5824663021856e-06 2.13835831090209e-05 5.80066552929207 "TRUE" 1792 25
"ASV_16706" "ASV_16706" 1420 "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Capnocytophaga" NA "Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga" -4.12800190098066 8.92869409373985 22.7873240170477 1.80955315754008e-06 2.38408628505906e-05 5.74242865450812 "TRUE" 1420 24
"ASV_14129" "ASV_14129" 3148 "Bacteria" NA NA NA NA NA NA "Bacteria" -4.26455129716452 9.77736591482773 22.4397221839559 2.1684270450409e-06 2.78722207984525e-05 5.66385518475301 "TRUE" 3107 40
"ASV_07411" "ASV_07411" 1297 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Stomatobaculum" "Stomatobaculum longum" "Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum" -1.98967661245849 8.37863531219463 21.7814463920346 3.05540551245116e-06 3.83380644062324e-05 5.51493114217016 "TRUE" 1223 27
"ASV_09816" "ASV_09816" 3107 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 4.00063554860709 9.40598879795999 21.5923823336695 3.37188398878599e-06 4.13251828393073e-05 5.47212737589095 "TRUE" 2584 38
"ASV_09911" "ASV_09911" 1638 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 4.128559826111 8.99906198997438 21.5026987394734 3.53331064050628e-06 4.23194251715184e-05 5.45181817871939 "TRUE" 1576 23
"ASV_09355" "ASV_09355" 2088 "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Scardovia" "Scardovia wiggsiae" "Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Scardovia;Scardovia wiggsiae" 2.6330760554986 8.60740957832327 21.136021067829 4.27810502458702e-06 5.01013632879413e-05 5.36874855799761 "TRUE" 1984 27
"ASV_09989" "ASV_09989" 3240 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 4.74931594073315 9.5394783477715 21.0552725597136 4.46223272980465e-06 5.11216662740664e-05 5.35044778263261 "TRUE" 2223 35
"ASV_06923" "ASV_06923" 1734 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Actinomyces" "Actinomyces odontolyticus" "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus" 1.66584891476548 8.62000535009146 20.9592220310886 4.69163908954726e-06 5.26062510679023e-05 5.32867540394072 "TRUE" 1552 36
"ASV_18544" "ASV_18544" 4279 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 5.40512260860935 10.1642118847934 20.8113707744987 5.06811683687921e-06 5.53493023111283e-05 5.29515338174695 "TRUE" 4279 34
"ASV_05594" "ASV_05594" 1876 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Haemophilus" NA "Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus" -3.73212421991032 8.79989437451181 20.7820409780634 5.14632981640472e-06 5.53493023111283e-05 5.28850238430239 "TRUE" 1865 24
"ASV_11096" "ASV_11096" 3754 "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" NA "Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella" 5.50430180196106 10.500479296761 19.8728979777772 8.27653877339276e-06 8.61268200589871e-05 5.0821512460518 "TRUE" 3715 36
"ASV_09547" "ASV_09547" 2070 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -3.99815502056488 8.99636716458822 19.8594761196555 8.33485355409552e-06 8.61268200589871e-05 5.07910202645469 "TRUE" 2070 26
"ASV_18254" "ASV_18254" 5513 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -4.39052972305794 10.640485791016 19.7133519379731 8.99705555928942e-06 9.1181697687414e-05 5.04589959762481 "TRUE" 5513 44
"ASV_06790" "ASV_06790" 2527 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Rothia" NA "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia" -3.19322269267134 8.80191618028011 19.1796723970856 1.18973600318953e-05 0.00011830016484545 4.92454939581545 "TRUE" 2467 24
"ASV_08914" "ASV_08914" 1495 "Bacteria" "Synergistetes" "Synergistia" "Synergistales" "Synergistaceae" "Fretibacterium" NA "Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Fretibacterium" -2.80370473901011 8.55356465907096 18.5029604224821 1.69640596406945e-05 0.000165556656123074 4.77047020935669 "TRUE" 1378 24
"ASV_13410" "ASV_13410" 1844 "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" NA "Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium" -3.85259523215681 8.98717869221418 18.2059054007622 1.98263136673471e-05 0.000189972132776217 4.70275802723464 "TRUE" 1844 26
"ASV_06783" "ASV_06783" 3476 "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Rothia" NA "Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia" -3.90159124078273 9.23002671513981 17.9185990492755 2.30556942965975e-05 0.000216970551684051 4.63722179495223 "TRUE" 3438 31
"ASV_15809" "ASV_15809" 1223 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella denticola" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola" -3.04154950941378 8.60291080149446 17.828867202245 2.41688554639359e-05 0.000223455909289373 4.61674391547842 "TRUE" 1165 24
"ASV_18343" "ASV_18343" 2439 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -4.37195510767892 9.22479609064712 17.6930000780781 2.59580086293954e-05 0.000235859837029162 4.58572862752796 "TRUE" 2427 24
"ASV_15403" "ASV_15403" 1380 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella" -2.7163748429169 8.56403306649905 17.6090136081752 2.7129942344099e-05 0.000242330162971867 4.56655112918961 "TRUE" 1380 28
"ASV_02606" "ASV_02606" 4782 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella" -4.05321023853941 9.59691509313231 17.4616843270688 2.93156880272776e-05 0.000257489459839588 4.53289990864468 "TRUE" 4681 34
"ASV_15811" "ASV_15811" 3461 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella denticola" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola" -3.72292199733848 10.2554149939808 16.7528475496901 4.25783162843596e-05 0.000367848732489467 4.37081151628589 "TRUE" 3454 47
"ASV_09555" "ASV_09555" 3670 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -3.84729382744765 9.80167133672562 16.3129435061675 5.36959263390621e-05 0.000456415373882028 4.27005866095918 "TRUE" 3538 41
"ASV_12961" "ASV_12961" 1229 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "FAM_Parvimonas" "Parvimonas" "Parvimonas micra" "Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Parvimonas;Parvimonas;Parvimonas micra" -2.33353597464138 8.45559928072305 16.2227531064936 5.6313679445552e-05 0.000471068397901681 4.24938609562659 "TRUE" 1229 24
"ASV_02658" "ASV_02658" 1845 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella denticola" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola" 3.65944575312677 8.81296046856814 15.7659801206507 7.16798920924021e-05 0.000590239111448374 4.14460265713652 "TRUE" 1845 23
"ASV_13336" "ASV_13336" 4079 "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" NA "Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium" -3.49171386321729 9.74020915031014 15.6983987472124 7.42870330042934e-05 0.000602296406050194 4.12908698686055 "TRUE" 3708 45
"ASV_19263" "ASV_19263" 1977 "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "FAM_Gemella" "Gemella" NA "Bacteria;Firmicutes;Bacilli;Bacillales;FAM_Gemella;Gemella" -3.40077164512996 8.83725180852505 15.4595485998123 8.42900124971585e-05 0.000673042978575796 4.07422388177309 "TRUE" 1957 27
"ASV_15961" "ASV_15961" 1340 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella nigrescens" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nigrescens" -2.98613433109063 8.62796352668623 15.0964002315797 0.000102157909645483 0.000803540572883124 3.99072800218474 "TRUE" 1340 24
"ASV_07309" "ASV_07309" 1424 "Bacteria" "PHY_Coriobacteriia" "Coriobacteriia" "Coriobacteriales" "Atopobacteriaceae" "Atopobium" "Atopobium rimae" "Bacteria;PHY_Coriobacteriia;Coriobacteriia;Coriobacteriales;Atopobacteriaceae;Atopobium;Atopobium rimae" 1.88769212844991 8.58202542867956 14.8113558399592 0.00011881786660142 0.000920838466161004 3.92511824973369 "TRUE" 1272 24
"ASV_12541" "ASV_12541" 2998 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Aerococcaceae" "Abiotrophia" "Abiotrophia defectiva" "Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva" -3.14014413698297 9.18435864834463 14.3350082018016 0.000152993132200824 0.00116851276333093 3.81532806404664 "TRUE" 2791 38
"ASV_20543" "ASV_20543" 2241 "Bacteria" NA NA NA NA NA NA "Bacteria" -3.66794861088298 8.97442749700252 14.2989055651211 0.000155955525717132 0.00117412231504183 3.80699923298799 "TRUE" 2235 25
"ASV_18591" "ASV_18591" 2044 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus" 3.75198277328812 9.05377265795715 14.104024587497 0.000172973290945889 0.00127123218220874 3.76202095172858 "TRUE" 1982 29
"ASV_09117" "ASV_09117" 2951 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" NA NA NA "Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales" -3.3214568059481 9.4541307109367 14.0963684217525 0.00017367878011201 0.00127123218220874 3.76025323994794 "TRUE" 2812 39
